ID,nom,fonction,annees,statut,parent,public,support,similaire-a,wikidata,comptoir-du-libre,licence,contexte-usage,label,groupe,version_min,version_max
1,7zip,Compression,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,,,Q215051,72,LGPL-2.0-only,,,MIMO,19,
2,Acceleo,Outil et/ou plugin de génération de tout ou partie du code,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,,,Q2822666,304,EPL-2.0,Outil et/ou plugin de génération de tout ou partie du code,,MIMDEV,3.7.8,
3,Additional Alerts,Notifications supplémentaires à celles incluses dans GLPI,2018 ; 2020 ; 2021 ; 2022,O,GLPI,,,,,93,GPL-2.0-only,Gestion des tickets,,MIMO,2.1.2,
4,Agent OCS,"Inventaire, télédéploiement et découverte du réseau",2018 ; 2019 ; 2020 ; 2021 ; 2022,R,OCS Inventory,,Oui,,,88,GPL-2.0-only,,,MIMO,2.4,
5,Ansible,Déploiement,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,Oui,,Q2852503,225,GPL-3.0-only,Services déconcentrés,,MIMPROD,Distribution,
6,Apache HTTP Server,Serveur Web & Reverse Proxy,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,Oui,,Q11354,212,Apache-2.0,Services déconcentrés,,MIMPROD,Distribution,
7,Apache Jmeter,Robot de test / Injecteurs,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,Oui,,Q616885,109,Apache-2.0,,,MIMDEV,5.2,
8,Apache Maven,Outil de gestion des dépendances entre les différents composants d'un projet et cycle de vie,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,Oui,,Q139941,176,Apache-2.0,,,MIMDEV,3.5.2,
9,Apache Solr,Indexation et recherche plein texte,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,Oui,,Q2858103,204,Apache-2.0,Limité à 1 serveur,,MIMPROD,8.0.0,
10,Apache Tomcat,Environnement de développement,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,Oui,,Q507430,205,Apache-2.0,,,MIMDEV,9,
